Sub_Dept,Work_Date,Shift_Name,Dock_Name,Door_Name,BOL_Number,Live_Load,Hot_Load,Drive_Off,No_Appointment,Appointment_ID,Appointment_Time,Gate_In_Time,Receiver_Check_In_Time,Received_Time,Docked_Time,Work_Start_Time,Work_End_Time,Total_Time_In_Minutes,Driver_Called_Time,Bills_To_Driver_Time,Gate_Out_Time,Total_Load_Delay_Min,Trailer_Type_Name,Carrier_Name,Trailer_Number,Main_PO_Number,Main_Vendor_Name,Main_Vendor_Number,Main_Product_Name,Load_Type_Name,Bill_Code_Name,Unload_Type_Name,Bill_Rate_Name,Total_Case_Count,Total_Pallet_White_In_Count,Total_Pallet_Chep_In_Count,Total_Pallet_Peco_In_Count,Total_Pallet_IGps_In_Count,Total_Totes_In_Count,Total_Pallet_In_Count,Total_Pallet_Finished_Count,Total_Pallet_Created_Count,Total_Item_Count,Total_Tray_Count,Total_Layer_Count,Total_PO_Weight,Total_Cube,Service_Hours,Adjustment_Amount,Adjustment_Reason,Total_Load_Cost,Total_Payment,Cash_Amount,Check_Amount,Relay_Amount,Auto_Pay_Amount,Capstone_Pay_Amount,Fleet_Friend_Amount,Convenience_Fee,Handling_Fee,Check_Number,Credit_Amount,Credit_Auth_Number,Debit_Amount,Debit_Auth_Number,Total_COD_Amount,BillTo_Amount,Receipt_Number,Receipt_Printed,Override_User_Name,Override_Time,Override_Reason,Created_Device_ID,Created_By,Created_Date,Modified_Device_ID,Modified_By,Modified_Date
27,02/04/2025,,DRY,413,,0,0,0,0,,,,,02/04/2025 11:47,,02/04/2025 12:40,02/04/2025 13:15,35,,,,0,,MDI BACKHAUL,3d1080,40068116,BEVCO,0,,BKHL,27RMDIBKH,ROLL OFF,LOGCODEAROFF25_30027,2000,20,0,0,0,0,20,20,0,0,0,0,0,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,1e319f0a-79a0-4316-9946-82cfeacf4393,0,,,,2924,73558,02/04/2025 13:15,0,73558,02/04/2025 13:16
27,02/04/2025,,DRY,414,,0,0,0,0,,,,,02/04/2025 11:45,,02/04/2025 13:00,02/04/2025 13:12,12,,,,0,,MDI BACKHAUL,3d7191,40066317,NIAGARA,30097,,BKHL,27RMDIBKH,BRK DOWN,LOGCODEBBRK61_30027,687,19,0,0,0,0,19,23,4,0,0,0,0,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,7dc58b41-bb83-40eb-9c29-382a630432bb,0,,,,2924,73558,02/04/2025 13:11,0,73558,02/04/2025 13:12
27,02/04/2025,,DRY,411D,,0,0,0,0,5660144,02/04/2025 11:00,,,02/04/2025 11:45,,02/04/2025 11:47,02/04/2025 11:58,11,,,01/01/1970 00:00,0,,MDI BACKHAUL,3d7212,293085,CONAGRA GROCERY,70377,,BKHL,27RMDIBKH,BRK DOWN,LOGCODECBRK92_30027,2719,40,0,0,0,0,40,73,33,0,0,0,43808,0,0,,,92.5,92.5,0,0,0,0,0,0,0,0,,0,,0,,0,92.5,ddbea904-9463-4afb-badf-79f4fe1636a9,0,,,,2924,73558,02/04/2025 13:05,0,73558,02/04/2025 13:06
27,02/04/2025,,DRY,416,,0,0,0,0,,,,,02/04/2025 11:42,,02/04/2025 12:00,02/04/2025 13:00,60,,,,0,,SOUTHLAND,10230,40059514,HANOVER,70908,,Logistics,27RMDICON,BRK DOWN,LOGCODEBBRK61_30027,2033,16,0,0,0,0,16,20,4,0,0,0,0,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,00692a3b-5b7b-4b12-a495-853a3d63836a,0,,,,2924,73558,02/04/2025 13:00,0,73558,02/04/2025 13:01
27,02/04/2025,,DRY,407D,,0,0,0,0,5667550,02/04/2025 09:00,,,02/04/2025 11:00,,02/04/2025 11:15,02/04/2025 11:33,18,,,,0,,MDI BACKHAUL,3T1045,40068402,SUNNY DELIGHT BEVERAGE CO.,70821,,BKHL,27RMDIBKH,ROLL OFF,LOGCODEAROFF25_30027,20,20,0,0,0,0,20,20,0,0,0,0,19900,0,0,,,25,25,0,0,0,0,0,0,0,0,,0,,0,,0,25,9ed30d49-834c-41be-b91f-4707dbacbc95,0,,,,2924,73558,02/04/2025 11:33,0,73558,02/04/2025 11:48
27,02/04/2025,,DRY,409D,,1,0,0,0,5652894,02/05/2025 23:00,,,02/04/2025 10:59,,02/04/2025 11:14,02/04/2025 11:31,17,,02/04/2025 11:48,,0,,OZARK MOTOR LINES INC,V10994,16200174,CONAGRA GROCERY,70377,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,2016,18,0,0,0,0,18,19,1,0,0,0,44749,0,0,,,185,185,0,0,0,0,185,0,10,0,,0,,0,,0,0,96a0f7ab-2b0e-41b4-b827-1df9d7e8de25,1,,,,2924,73558,02/04/2025 11:31,0,73558,02/04/2025 11:48
27,02/04/2025,,PERISHABLE,204M,,0,0,0,0,5672054,02/05/2025 08:00,,,02/04/2025 10:57,,02/04/2025 12:20,02/04/2025 12:38,18,,,,0,,MDI BACKHAUL,3T1465,302514,PERDUE FARMS INC,10146,,BKHL,27RMDIBKH,BRK DOWN,LOGCODEBBRK61_30027,560,15,0,0,0,0,15,16,1,0,0,0,26872,0,0,,,61,61,0,0,0,0,0,0,0,0,,0,,0,,0,61,b1c60009-b2dd-4252-9ea8-47693e0c9538,0,,,,2924,april.parlier,02/04/2025 12:21,0,april.parlier,02/04/2025 12:39
27,02/04/2025,,FROZEN,134F,,1,0,0,0,5660480,02/04/2025 02:00,,,02/04/2025 10:40,,02/04/2025 10:46,02/04/2025 10:57,11,,02/04/2025 12:09,,0,,PRO INTERMODAL,V7428,302396,CROWN BAKERIES LLC,23124,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK135_30027,304,8,0,0,0,0,8,9,1,0,0,0,4094,0,0,,,160,160,0,0,160,0,0,0,10,0,,0,,0,,0,0,34a9b0db-9768-4832-917e-a02aed07db01,1,,,,2924,april.parlier,02/04/2025 10:56,0,april.parlier,02/04/2025 12:09
27,02/04/2025,,PERISHABLE,202M,,1,0,0,0,5661904,02/04/2025 23:00,,,02/04/2025 10:30,,02/04/2025 10:32,02/04/2025 10:43,11,,02/04/2025 11:21,,0,,SUNLAND DISTRIBUTION,V1363,302060,MARK FOODS LLC,10227,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK135_30027,300,3,0,0,0,0,3,6,3,0,0,0,3300,0,0,,,160,160,0,0,0,0,160,0,10,0,,0,,0,,0,0,9dd72f08-a5de-4a5c-b967-c3e7606c49f4,1,,,,2924,april.parlier,02/04/2025 10:37,0,april.parlier,02/04/2025 11:21
27,02/04/2025,1ST,DRY,410D,,1,1,0,0,5636641,02/04/2025 10:00,,,02/04/2025 10:28,,02/04/2025 11:00,02/04/2025 11:11,11,,02/04/2025 13:19,,0,,CALIFORNIA,V01709,40068235,LIBMAN BROOM COMPANY INC.,50705,,Vendor Ship,27RCODMDI,BRK DOWN,VDERSHBRK160_30027,2136,14,0,0,0,0,14,41,27,0,0,0,9548,0,0,,,335,335,0,0,0,0,335,0,10,0,,0,,0,,0,0,97f1fa73-1dae-46c9-8890-9ace318df3aa,1,,,,2924,159622,02/04/2025 10:31,0,73558,02/04/2025 13:18
